epoch,loss,accuracy
1,1.5572564693706294,86.4
2,0.5817144699394703,86.6
3,0.37626750795479635,89.8
4,0.2615841418125124,90.2
5,0.19884503480506027,93.6
6,0.17546290510568008,91.0
7,0.1384738721262434,93.6
8,0.11319977333173332,93.8
9,0.1280691969722633,92.0
10,0.10768464684565839,91.8
